id,count,yuangong
1067@hightech.com,21,1067
1007@hightech.com,11,1007
1041@hightech.com,10,1041
1013@hightech.com,9,1013
1068@hightech.com,8,1068
1059@hightech.com,8,1059
1100@hightech.com,3,1100
1096@hightech.com,3,1096
1383@hightech.com,3,1383
1352@hightech.com,3,1352
1389@hightech.com,3,1389
1149@hightech.com,3,1149
1180@hightech.com,2,1180
1087@hightech.com,2,1087
1125@hightech.com,2,1125
1209@hightech.com,2,1209
1137@hightech.com,2,1137
1119@hightech.com,2,1119
1444@hightech.com,2,1444
1238@hightech.com,1,1238
1230@hightech.com,1,1230
1300@hightech.com,1,1300
1184@hightech.com,1,1184
1373@hightech.com,1,1373
1058@hightech.com,1,1058
1113@hightech.com,1,1113
1346@hightech.com,1,1346
1277@hightech.com,1,1277
1416@hightech.com,1,1416
1299@hightech.com,1,1299
1110@hightech.com,1,1110
1181@hightech.com,1,1181
1118@hightech.com,1,1118
1145@hightech.com,1,1145
1241@hightech.com,1,1241
1275@hightech.com,1,1275
1139@hightech.com,1,1139
1192@hightech.com,1,1192
1495@hightech.com,1,1495
1228@hightech.com,1,1228
1351@hightech.com,1,1351
1282@hightech.com,1,1282
1323@hightech.com,1,1323
1098@hightech.com,1,1098
1172@hightech.com,1,1172
1155@hightech.com,1,1155
1206@hightech.com,1,1206
1471@hightech.com,1,1471
1307@hightech.com,1,1307
1491@hightech.com,1,1491
1104@hightech.com,1,1104
1435@hightech.com,1,1435
1283@hightech.com,1,1283
1173@hightech.com,1,1173
1297@hightech.com,1,1297
1224@hightech.com,1,1224
1101@hightech.com,1,1101
1355@hightech.com,1,1355
1314@hightech.com,1,1314
1376@hightech.com,1,1376
1281@hightech.com,1,1281
1487@hightech.com,1,1487
1499@hightech.com,1,1499
