id,count,yuangong
1068@hightech.com,8,1068
1013@hightech.com,7,1013
1007@hightech.com,6,1007
1119@hightech.com,5,1119
1059@hightech.com,5,1059
1365@hightech.com,4,1365
1199@hightech.com,4,1199
1165@hightech.com,4,1165
1211@hightech.com,4,1211
1362@hightech.com,4,1362
1230@hightech.com,4,1230
1126@hightech.com,3,1126
1092@hightech.com,3,1092
1151@hightech.com,3,1151
1410@hightech.com,3,1410
1100@hightech.com,3,1100
1224@hightech.com,3,1224
1363@hightech.com,3,1363
1153@hightech.com,3,1153
1191@hightech.com,3,1191
1339@hightech.com,3,1339
1431@hightech.com,3,1431
1370@hightech.com,3,1370
1209@hightech.com,3,1209
1465@hightech.com,3,1465
1424@hightech.com,3,1424
1297@hightech.com,3,1297
1382@hightech.com,3,1382
1383@hightech.com,3,1383
1183@hightech.com,3,1183
1461@hightech.com,3,1461
1340@hightech.com,3,1340
1135@hightech.com,3,1135
1278@hightech.com,3,1278
1226@hightech.com,3,1226
1243@hightech.com,3,1243
1101@hightech.com,3,1101
1195@hightech.com,3,1195
1253@hightech.com,3,1253
1147@hightech.com,3,1147
1348@hightech.com,3,1348
1328@hightech.com,3,1328
1178@hightech.com,3,1178
1241@hightech.com,3,1241
1115@hightech.com,3,1115
1210@hightech.com,3,1210
1287@hightech.com,2,1287
1156@hightech.com,2,1156
1149@hightech.com,2,1149
1417@hightech.com,2,1417
1471@hightech.com,2,1471
1223@hightech.com,2,1223
1368@hightech.com,2,1368
1489@hightech.com,2,1489
1284@hightech.com,2,1284
1143@hightech.com,2,1143
1152@hightech.com,2,1152
1155@hightech.com,2,1155
1228@hightech.com,2,1228
1423@hightech.com,2,1423
1323@hightech.com,2,1323
1087@hightech.com,2,1087
1177@hightech.com,2,1177
1500@hightech.com,2,1500
1458@hightech.com,2,1458
1103@hightech.com,2,1103
1435@hightech.com,2,1435
1308@hightech.com,2,1308
1491@hightech.com,2,1491
1267@hightech.com,2,1267
1132@hightech.com,2,1132
1286@hightech.com,2,1286
1102@hightech.com,2,1102
1481@hightech.com,2,1481
1406@hightech.com,2,1406
1248@hightech.com,2,1248
1303@hightech.com,2,1303
1306@hightech.com,2,1306
1189@hightech.com,2,1189
1125@hightech.com,2,1125
1403@hightech.com,2,1403
1371@hightech.com,2,1371
1246@hightech.com,2,1246
1175@hightech.com,2,1175
1184@hightech.com,2,1184
1108@hightech.com,2,1108
1434@hightech.com,2,1434
1244@hightech.com,2,1244
1304@hightech.com,2,1304
1457@hightech.com,2,1457
1402@hightech.com,2,1402
1041@hightech.com,2,1041
1058@hightech.com,2,1058
1369@hightech.com,2,1369
1142@hightech.com,2,1142
1466@hightech.com,2,1466
1405@hightech.com,2,1405
1207@hightech.com,2,1207
1397@hightech.com,2,1397
1299@hightech.com,2,1299
1390@hightech.com,2,1390
1104@hightech.com,2,1104
1080@hightech.com,2,1080
1330@hightech.com,2,1330
1060@hightech.com,2,1060
1326@hightech.com,2,1326
1314@hightech.com,1,1314
1475@hightech.com,1,1475
1167@hightech.com,1,1167
1281@hightech.com,1,1281
1301@hightech.com,1,1301
1290@hightech.com,1,1290
1275@hightech.com,1,1275
1439@hightech.com,1,1439
1438@hightech.com,1,1438
1343@hightech.com,1,1343
1291@hightech.com,1,1291
1217@hightech.com,1,1217
1321@hightech.com,1,1321
1249@hightech.com,1,1249
1495@hightech.com,1,1495
1270@hightech.com,1,1270
1233@hightech.com,1,1233
1315@hightech.com,1,1315
1067@hightech.com,1,1067
1221@hightech.com,1,1221
1455@hightech.com,1,1455
1350@hightech.com,1,1350
1394@hightech.com,1,1394
1106@hightech.com,1,1106
1446@hightech.com,1,1446
1355@hightech.com,1,1355
1391@hightech.com,1,1391
1327@hightech.com,1,1327
1179@hightech.com,1,1179
1460@hightech.com,1,1460
1140@hightech.com,1,1140
1483@hightech.com,1,1483
1112@hightech.com,1,1112
1347@hightech.com,1,1347
1261@hightech.com,1,1261
1351@hightech.com,1,1351
1145@hightech.com,1,1145
1346@hightech.com,1,1346
1200@hightech.com,1,1200
1459@hightech.com,1,1459
1487@hightech.com,1,1487
1364@hightech.com,1,1364
1388@hightech.com,1,1388
1484@hightech.com,1,1484
1354@hightech.com,1,1354
1268@hightech.com,1,1268
1379@hightech.com,1,1379
1137@hightech.com,1,1137
1313@hightech.com,1,1313
1239@hightech.com,1,1239
1219@hightech.com,1,1219
1293@hightech.com,1,1293
1098@hightech.com,1,1098
1262@hightech.com,1,1262
1279@hightech.com,1,1279
1444@hightech.com,1,1444
1283@hightech.com,1,1283
1464@hightech.com,1,1464
1159@hightech.com,1,1159
1213@hightech.com,1,1213
1497@hightech.com,1,1497
1282@hightech.com,1,1282
1396@hightech.com,1,1396
1148@hightech.com,1,1148
1257@hightech.com,1,1257
1113@hightech.com,1,1113
1172@hightech.com,1,1172
1344@hightech.com,1,1344
1277@hightech.com,1,1277
1474@hightech.com,1,1474
1477@hightech.com,1,1477
1181@hightech.com,1,1181
1274@hightech.com,1,1274
1251@hightech.com,1,1251
1469@hightech.com,1,1469
1169@hightech.com,1,1169
1238@hightech.com,1,1238
1193@hightech.com,1,1193
1401@hightech.com,1,1401
1307@hightech.com,1,1307
1300@hightech.com,1,1300
1467@hightech.com,1,1467
1110@hightech.com,1,1110
1311@hightech.com,1,1311
1445@hightech.com,1,1445
1336@hightech.com,1,1336
1325@hightech.com,1,1325
